Tank Name,Cost,BR,Type,Actual BR,Rank,Alias,Internal IDs,,,,,,,,
Charioteer,415000,5.7,PWMT,5.7,4,,uk_charioteer_mk_7 | sw_charioteer_mk_7,,,,,,no apds,,
ASU-85,415000,5.7,PWTD,5.7,4,,ussr_asu_85,,,,,,,,
T20,364000,5.5,MT,5.5,4,,us_t20,,,,,,,,
Panther A,420000,5.7 (6.0),MT,5.7,4,T-V,ussr_pzkpfw_V | germ_pzkpfw_V_ausf_a_panther,,,,,,,,
ST-A1,386000,5.7 (6.3),MBT,5.7,4,,jp_st_a1,,,,,,,,
ST-A2,386000,5.7 (6.3),MBT,5.7,4,,jp_st_a2,,,,,,,,
Tigris,582000,6.0,HT,6.0,4,,it_pzkpfw_VI_ausf_e_tiger,,,,,,,,
SU-122P,436000,6.0,TD,6.0,4,,ussr_su_122P,,,,,,,,
Pz. VI 'Tiger' E,572000,6.0,HT,6.0,4,Tiger E,germ_pzkpfw_VI_ausf_e_tiger,,,,,,,,
Panther G,436000,6.0,MT,6.0,4,Dauphine,germ_pzkpfw_V_ausf_g_panther,,,,,,,,
M41A1,384000,6.0,PWLT,6.0,4,,us_m41_walker_bulldog,,,,,,,,
SU-100,436000,6.0,TD,6.0,4,,cn_su_100_1945 | ussr_su_100_1945,,,,,,,,
Panther F,446000,6.0,MT,6.0,4,,germ_pzkpfw_V_ausf_f_panther,,,,,,,,
Black Prince,572000,6.0,HT,6.0,4,,uk_a_43_black_prince,,,,,,,,
Centurion Mk.1,436000,6.0,MT,6.0,4,,uk_centurion_mk_1,,,,,,,,
Type 61,446000,6.0,MBT,6.0,4,,jp_type_61_mod | jp_type_61,,,,,,,,
AMX-13,384000,6.0,PWLT,6.0,4,,il_amx_13_75 | fr_amx_13_75 | us_amx_13_75,,,,,,,,
KV-220,572000,6.0,HT,6.0,4,,ussr_kv_220,,,,,,,,
T-34-100,436000,6.0,MT,6.0,4,,ussr_t_34_100,,,,,,,,
M4A3E2 (76) W,572000,6.0 (6.3),HT/A,6.0,4,Jumbo 76,us_m4a3e2_76w_sherman_jumbo,,,,,,,,
T-44-122,436000,6.0 (6.3),MT,6.0,4,,ussr_t_44_122,,,,,,,,
IS-2,572000,6.0 (6.3),HT,6.0,4,,ussr_is_2_1943 | cn_is_2_1943 | cn_is_2_1943_no402,,,,,,,,
T-44,436000,6.0 (6.7),MT,6.0,4,,ussr_t_44,,,,,,,,
Object 248,572000,6.0 (6.7),HT,6.0,4,,ussr_object_248,,,,,,,,
Ho-Ri Prototype,572000,6.0 (6.7),TD,6.0,4,Ho-Ri Prot.,jp_type_5_ho_ri_prototype,,,,,,,,
ST-A3,464000,6.0 (6.7),MBT,6.0,4,,jp_st_a3,,,,,,,,
M26,486000,6.3,MT,6.3,4,M26 Pershing,us_m26_pershing | it_m26_ariete | fr_m26_pershing,,,,,,,,
M26A1,486000,6.3,MT,6.3,4,,it_m26a1_pershing,,,,,,,,
M26 T99,500000,6.3,MT,6.3,4,,us_m26_t99,,,,,,,,
M26E1,513000,6.5,MT,6.5,4,,us_m26e1_pershing,,,,,,,,
T26E5,676000,6.5,HT,6.5,4,,us_t26e5,,,,,,,,
T28 GMC,640000,6.3,TD/A,6.3,5,,us_t28,,,,,,,,
M46,513000,6.5,MBT,6.5,4,,us_m46_patton_73_armor_bat | us_m46_patton | fr_m46_patton,,,,,,,,
IS-2 (1944),676000,6.5,HT,6.5,4,,ussr_is_2_1944 | cn_is_2_1944,,,,,,,,
JPz. VI 'Elefant',690000,6.5,TD,6.5,4,Elefant,germ_panzerjager_tiger_P_elefant,,,,,,,,
JPz. VI 'Ferdinand',676000,6.5,TD,6.5,4,Ferdinand,germ_panzerjager_tiger_P_ferdinand,,,,,,,,
Tortoise,676000,6.5,TD/A,6.5,4,,uk_a39_tortoise,,,,,,,,
Centurion Mk.2,513000,6.5,MT,6.5,4,,uk_centurion_mk_2,,,,,,,,
T26E1-1,712000,6.7,HT,6.7,4,,us_t26e4_superpershing,,,,,,,,
Pz. VI B 'Tiger II' (P),712000,6.7,HT,6.7,4,Tiger II (P),germ_pzkpfw_VI_ausf_b_tiger_IIp,,,,,,,,
M6A2E1,712000,6.7,HT,6.7,4,,us_m6a2e1,,,,,,,,
M47,560000,6.7,MBT,6.7,5,**mKPz M47 G**,jp_m47_patton_II | germ_mkpz_m47 | us_m47_patton_II,,,,,,,,
M48,621000,6.7,MBT,6.7,5,,us_m48a1_patton_III | cn_m48a1_patton_III,,,,,,,,
M48A2 C,631000,6.7,MBT,6.7,5,,germ_mkpz_m48a2c,,,,,,,,
FV4202,621000,6.7,MBT,6.7,5,,uk_fv4202,,,,no apds,,,,
T-44-100,596000,7.0,MT,7.0,5,,ussr_t_44_100,,,,,,,,
Pz. VI B 'Tiger II' (H),788000,7.0,HT,7.0,5,Tiger II (H),germ_pzkpfw_VI_ausf_b_tiger_IIh,,,,,,,,
AMX M4,685000,7.0,MBT,7.0,5,,fr_amx_m4,,,,,,,,
T30,788000,7.0,HT,7.0,5,,us_t30,,,,,,,,
T34,788000,7.0,HT,7.0,5,,us_t34,,,,,,,,
JPz. VI 'Jagdtiger',788000,7.0,TD,7.0,5,Jagdtiger,germ_panzerjager_tiger,,,,,,,,
T95 GMC,788000,7.0,TD/A,7.0,5,,us_t95,,,,,,,,
T54E2,715000,7.0,MBT,7.0,5,,us_t54e2,,,,on agreement,,,,
Centurion AX,715000,7.0,MBT,7.0,5,,uk_centurion_action_x,,,,fine,,,,
"Pz. V ""Panther"" II",656000,7.3,MT,6.7,5,Panther II,germ_panther_II,,,,,,,,
Tiger II (H) Sla. 16,868000,7.3,HT,6.7,5,Tiger II Sla.16,germ_pzkpfw_VI_ausf_b_tiger_IIh_sla,,,,,,,,
Char 25T,571000,7.3,PWLT,7.3,5,Bat Chat,fr_bat_chat_25t,,,,,,,,
AMX-50-90,715000,7.3,MBT,7.3,5,,fr_amx_50_1950,,,,,,,,
IS-3,788000,7.3,HT,7.3,5,,ussr_is_3,,,,,,,,
T32,868000,7.3,HT,7.3,5,,us_t32,,,,,,,,
Centurion Mk.3,787000,7.3,MBT,7.3,5,,uk_centurion_mk_3,,,,fine,,,,
T29,910000,7.5,HT,7.5,5,,us_t29,,,,,,,,
SU-122-54,791000,7.5,PWTD,7.5,5,,ussr_su_122_54,,,,on agreement,,,,
Ho-Ri Production,910000,7.5,TD,7.5,5,Ho-Ri Prod.,jp_type_5_ho_ri_production,,,,,,,,
Tiger II (H) 10.5cm,910000,7.5,HT,7.0,5,Tiger II 105mm,germ_pzkpfw_VI_ausf_b_tiger_IIh_kwk46,KT105,,,,,,,
Centurion Mk.5/1,840000,7.5,MBT,7.5,5,,uk_centurion_mk_5_raac,,,,fine,,,,
T54E1,840000,7.5,MBT,7.5,5,,us_t54e1,,,,,,,,
Caernavon,900000,7.5,PWHT,7.5,5,,uk_fv221_caernarvon,,,,fine,,,,
T-54 (1947),828000,7.7,MBT,7.7,5,,ussr_t_54_1947,,,,,,,,
IS-6,952000,7.7,HT,7.7,5,,ussr_is_6,,,,,,,,
Lorraine 40T,840000,7.7,MBT,7.7,5,,fr_lorraine_40t,,,,,,,,
AMX-50,840000,7.7,MBT,7.7,5,AMX-50-100,fr_amx_50,,,,,,,,
AMX-50 Foch,900000,7.7,PWTD,7.7,5,Foch,fr_amx_50_foch,,,,,,,,
AMX-50 Surbaisse,900000,7.7,PWHT,7.7,5,AMX-50 Surbaisse,fr_amx_50_surbaisse,,,,,,,,
T32E1,952000,7.7,HT,7.7,5,,us_t32e1,,,,,,,,
T-54 (1949),903000,8.0,PWHT,8.0,5,,ussr_t_54_1949,,,,no apds,,,,
Somua SM,1040000,8.0,,8.0,5,,fr_somua_sm,,,,,,,,
Pz. VIII 'Maus',1096000,8.3,HT,8.3,5,Maus,germ_pzkpfw_Maus,,,,,,,,
M103,1096000,8.3,PWHT,8.3,5,,us_m103,,,,,,,,
T-54 (1951),996000,8.5,MBT,8.5,5,,ussr_t_54_1951,,,,on agreement,,,,
IS-4M,1150000,8.5,PWHT,8.5,5,,ussr_is_4m,,,,on agreement,,,,
Beutepanzer IV,14000,0.3,HT,0.3,1,,germ_beutepanzer_mk_iv_event | germ_beutepanzer_mk_iv,,,,,,,,
Mark V,14000,0.3,HT,0.3,1,,uk_mark_v | uk_mark_v_event,,,,,,,,
A7V,20000,0.5,HT,0.3,1,,germ_a7v_event | germ_a7v,,,,,,,,
St. Chamond,20000,0.5,TD,0.5,1,,uk_saint_chamond_event | fr_saint_chamond | uk_saint_chamond,,,,,,,,
Harry Hopkins,26000,1.3,LT,1.3,1,,uk_a25_mk_8,,,,,,,,
Sturmtiger,640000,6.3,TD/SPG,6.3,4,,germ_sturmmorser_sturmtiger,,,,,,,,
Sturmtiger {Karl},640000,6.3,TD/SPG,6.3,4,,germ_sturmmorser_sturmtiger,,,,,,,,
Sherman VC {UU},260000,4.7,MT,4.7,3,Firefly,uk_sherman_vc_firefly_kit_3rank | uk_sherman_vc_firefly,,,,,,,,
"MK-II ""Matilda"" {UU}",140000,3.0,HT,3.0,2,,ussr_a_12_mk_2_matilda_2A_F96,,,,,,,,
T 34 747 (r) {UU},204000,4.0 (4.3),MT,4.0,3,,germ_t_34_747,,,,,,,,
KW I C 756 (r) {UU},392000,5.0,HT,5.0,3,KW I C 756 (r) (Only 1),germ_kv_1_kwk_40,,,,,,,,
M41A1 {UU},384000,6.0,PWLT,6.0,4,,us_m41_walker_bulldog,,,,,,,,
M2A2 {6-Ton Twin},10900,0.7 (1.0),LT,0.7,1,M2A2 {6-Ton Twin},us_m2a2,,,,,,,,
L3/33 CC {C-Loyd Mk.VI},11500,0.3 (1.0),LT/TD,0.3,1,L3/33,it_l3_cc,L3/33 {TKS},,,,,,,
Ka-Mi {T-38},17000,1.0,LT,1.0,1,Ka-Mi {T-38},jp_type_2_ka_mi,,,,,,,,
Panther G {UU},436000,6.0,MT,6.0,4,Dauphine,germ_pzkpfw_V_ausf_g_panther,,,,,,,,
Pz.III J1 {MT. No. III},90000,2.7,MT,2.7,2,MT. No. III {Pz.III J1},germ_pzkpfw_III_ausf_J | germ_pzkpfw_III_ausf_J_td,,,,,,,,
Panther D {MT. No. V},364000,5.3,MT,5.3,3,MT. No. V {Panther D},germ_pzkpfw_V_ausf_d_panther,,,,,,,,
SMK {O-I},190000,3.5,HT,3.5,3,O-I {SMK},ussr_smk,,,,,,,,
Panther G {Dauphine},436000,6.0,MT,6.0,4,Dauphine,germ_pzkpfw_V_ausf_g_panther,,,,,,,,
Jagdpanzer 38 (t) {Chwat},192000,4.0,TD,4.0,3,Hetzer,germ_jgdpz_38t,,,,,,,,
CA Lorraine,415000,5.7,PWTD,5.7,4,,fr_lorraine_100,,,,,,,,
JPz. V 'Jagdpanther',486000,6.3 ,TD,6.3,4,Jagdpanther,germ_panzerbefelhswagen_jagdpanther | germ_panzerjager_panther,,,,,,,,
FV4005,600000,6.3,PWTD,6.3,4,,uk_fv4005,,,,,,,,
Super Hellcat,453000,6.0,LT/TD,6.0,4,M18-90,us_m18_super_hellcat,,,,,,,,
